SECONDS,SLANT RANGE(M),SLANT VELOCITY(M/S),DOPPLER (Hz),RANGE BIN,RB,AZIMUTH,ELEVATION
1656348106.08,681485.716376148,124.593350395005,-4.15598509274423,145.484266479024,145,329.55782046992,-1.96663299858639
1656348106.12,681490.973627153,124.59451213646,-4.15602384507656,145.485388802335,145,329.557358827371,-1.96666561429166
1656348106.16,681496.234473245,124.595674552716,-4.15606261789799,145.48651189313,145,329.556896924522,-1.96669820662252
1656348106.2,681501.498831443,124.596837625782,-4.15610141307116,145.487635733693,145,329.556434768402,-1.96673077532072
1656348106.24,681506.766712831,124.598001358449,-4.15614023059607,145.48876032639,145,329.555972357781,-1.96676332071093
1656348106.28,681512.038097143,124.599165746582,-4.15617907047272,145.489885666894,145,329.555509694179,-1.96679584292343
1656348106.32,681517.312964114,124.600330786047,-4.15621793270111,145.49101175088,145,329.555046779119,-1.96682834208853
1656348106.36,681522.59129348,124.60149647271,-4.1562568154186,145.492138574022,145,329.554583614123,-1.96686081833655
1656348106.4,681527.873096467,124.602662809389,-4.15629572048783,145.493266138716,145,329.554120197948,-1.96689327199114
1656348106.44,681533.158289847,124.603829778047,-4.15633464790881,145.494394427195,145,329.553656537643,-1.96692570279575
1656348106.48,681538.446884826,124.604997381499,-4.15637359395623,145.49552344185,145,329.553192631966,-1.96695811107418
1656348106.52,681543.73886114,124.606165615613,-4.15641256049275,145.496653178356,145,329.55272848244,-1.96699049695673
1656348106.56,681549.034198524,124.607334476252,-4.15645155124366,145.497783632387,145,329.552264090586,-1.96702286057372
1656348106.6,681554.332876713,124.608503959284,-4.15649055875838,145.498914799617,145,329.551799457926,-1.96705520205544
1656348106.64,681559.634907054,124.609674067551,-4.15652959235013,145.500046682467,146,329.55133458321,-1.96708752172477
1656348106.68,681564.940206078,124.610844782971,-4.15656864084303,145.501179263119,146,329.550869473502,-1.96711981932674
1656348106.72,681570.248785111,124.612016108383,-4.15660771168768,145.50231254399,146,329.550404127554,-1.96715209518437
1656348106.76,681575.56062389,124.613188039653,-4.15664680302143,145.503446520756,146,329.549938546887,-1.96718434942794
1656348106.8,681580.875702149,124.614360572648,-4.15668591484427,145.504581189089,146,329.549472733022,-1.96721658218777
1656348106.84,681586.193999624,124.615533703234,-4.15672504715621,145.505716544664,146,329.549006687483,-1.96724879359416
1656348106.88,681591.515527778,124.616707434277,-4.15676419809461,145.506852589927,146,329.54854040901,-1.96728098396923
1656348106.92,681596.840202908,124.617881747651,-4.15680336952209,145.50798930701,146,329.548073904684,-1.96731315305953
1656348106.96,681602.168036459,124.619056646218,-4.15684255957603,145.509126698355,146,329.547607173247,-1.96734530118731
1656348107,681607.499008165,124.620232125845,-4.15688176825643,145.510264759638,146,329.547140216223,-1.96737742848287
1656348107.04,681612.833097763,124.621408182399,-4.15692099742591,145.511403486531,146,329.546673035132,-1.96740953507651
1656348107.08,681618.170284986,124.622584811748,-4.1569602470845,145.512542874708,146,329.546205631496,-1.96744162109854
1656348107.12,681623.510549571,124.623762009759,-4.15699951350689,145.513682919844,146,329.545738006838,-1.96747368667926
1656348107.16,681628.85390311,124.624939779321,-4.15703880041838,145.514823624412,146,329.545270159889,-1.96750573213993
1656348107.2,681634.20026164,124.626118102263,-4.15707810409367,145.51596497049,146,329.544802097749,-1.96753775722883
1656348107.24,681639.549636737,124.62729698147,-4.15711742825806,145.517106960547,146,329.544333819151,-1.96756976226734
1656348107.28,681644.902008136,124.62847641281,-4.15715676918626,145.518249590257,146,329.543865325617,-1.96760174738576
1656348107.32,681650.257355571,124.629656392152,-4.15719612874091,145.519392855295,146,329.543396618669,-1.96763371271439
1656348107.36,681655.615658777,124.630836915364,-4.15723550692201,145.520536751334,146,329.542927699829,-1.96766565838354
1656348107.4,681660.976929455,124.632017985354,-4.15727490186691,145.521681280872,146,329.542458567821,-1.96769758471376
1656348107.44,681666.341083428,124.633199583913,-4.15731431730092,145.522826425938,146,329.54198922976,-1.96772949145475
1656348107.48,681671.708132379,124.634381713947,-4.15735374763608,145.523972189028,146,329.541519684372,-1.96776137892717
1656348107.52,681677.078056041,124.635564371324,-4.15739319846034,145.525118565813,146,329.541049933179,-1.96779324726133
1656348107.56,681682.45083415,124.636747551914,-4.15743266418576,145.526265551969,146,329.540579977703,-1.96782509658754
1656348107.6,681687.826446442,124.637931251584,-4.15747214667499,145.527413143169,146,329.540109819464,-1.96785692703609
1656348107.64,681693.204904717,124.639115473264,-4.15751164965332,145.528561341933,146,329.539639457182,-1.96788873892685
1656348107.68,681698.586124595,124.640300198707,-4.1575511675328,145.529710130247,146,329.539168897984,-1.96792053201089
1656348107.72,681703.970117861,124.641485430837,-4.15759070403874,145.530859510626,146,329.53869814059,-1.9679523066082
1656348107.76,681709.35686425,124.642671165525,-4.15763025544584,145.532009478744,146,329.538227186522,-1.96798406284907
1656348107.8,681714.746343496,124.64385739864,-4.15766982361674,145.533160030276,146,329.5377560373,-1.9680158008638
1656348107.84,681720.138535336,124.645044126051,-4.15770940855145,145.534311160895,146,329.537284694447,-1.96804752078271
1656348107.88,681725.533451667,124.646231350706,-4.15774901024997,145.535462873141,146,329.536813156674,-1.96807922292501
1656348107.92,681730.931007914,124.647419054322,-4.15778862684965,145.536615148959,146,329.536341431124,-1.96811090704307
1656348107.96,681736.331215958,124.648607239843,-4.15782826021314,145.537767990886,146,329.535869516507,-1.96814257345623
1656348108,681741.734055536,124.649795903139,-4.15786791034043,145.538921394595,146,329.535397414346,-1.96817422229477
1656348108.04,681747.139506382,124.650985040081,-4.15790757536888,145.54007535576,146,329.534925126164,-1.96820585368901
1656348108.08,681752.547548232,124.652174646539,-4.15794725716114,145.541229870055,146,329.53445265348,-1.96823746776925
1656348108.12,681757.95816082,124.653364718382,-4.15798695199192,145.542384933154,146,329.533979997818,-1.96826906466579
1656348108.16,681763.371356155,124.654555258579,-4.15802666544914,145.543540547621,146,329.53350715788,-1.96830064469712
1656348108.2,681768.787049441,124.655746248808,-4.15806639008224,145.544696695352,146,329.533034140825,-1.96833220761709
1656348108.24,681774.20525267,124.656937692035,-4.15810613520443,145.54585337891,146,329.532560945356,-1.96836375374427
1656348108.28,681779.625945579,124.658129584129,-4.1581458915025,145.547010593966,146,329.532087572996,-1.96839528320897
1656348108.32,681785.049107902,124.659321920962,-4.15818566270173,145.548168336195,146,329.531614025266,-1.9684267961415
1656348108.36,681790.474719374,124.660514698405,-4.15822545066476,145.549326601271,146,329.531140303687,-1.96845829267217
1656348108.4,681795.902792091,124.661707919443,-4.15826525166631,145.550485391777,146,329.530666406957,-1.96848977311885
1656348108.44,681801.333241081,124.662901565721,-4.15830506756902,145.551644689571,146,329.530192342247,-1.9685212372366
1656348108.48,681806.766078426,124.664095640223,-4.15834489651024,145.552804497234,146,329.529718108253,-1.96855268534338
1656348108.52,681812.20128386,124.66529013882,-4.15838474035263,145.553964810439,146,329.529243706499,-1.96858411756952
1656348108.56,681817.638837119,124.666485057383,-4.15842460095882,145.55512562486,146,329.528769138505,-1.96861553404531
1656348108.6,681823.078717937,124.667680391783,-4.15846447087824,145.556286936171,146,329.528294405794,-1.96864693490106
1656348108.64,681828.520938495,124.668876145022,-4.15850435942411,145.557448746972,146,329.527819507056,-1.96867832045409
1656348108.68,681833.965413652,124.670072298716,-4.15854425728321,145.558611039087,146,329.527344449474,-1.96870969046058
1656348108.72,681839.412155574,124.671268855863,-4.15858417004347,145.559773815113,146,329.52686923174,-1.96874104523794
1656348108.76,681844.861143996,124.672465812335,-4.15862409584224,145.560937070724,146,329.526393855376,-1.96877238491647
1656348108.8,681850.312358654,124.673663164005,-4.15866403467953,145.562100801595,146,329.525918321902,-1.96880370962648
1656348108.84,681855.765779281,124.674860906745,-4.15870398655534,145.563265003398,146,329.525442632842,-1.96883501949828
1656348108.88,681861.221418139,124.676059043569,-4.1587439533323,145.564429678751,146,329.52496678688,-1.96886631484866
1656348108.92,681866.679189926,124.677257556068,-4.15878393128514,145.565594809444,146,329.52449079121,-1.96889759543486
1656348108.96,681872.139106888,124.678456447255,-4.15882392041385,145.566760398091,146,329.524014644519,-1.96892886157375
1656348109,681877.601148761,124.679655713001,-4.15886392630637,145.567926440367,146,329.523538348328,-1.96896011339565
1656348109.04,681883.065295279,124.68085534918,-4.15890393964946,145.569092931944,146,329.523061904159,-1.96899135103085
1656348109.08,681888.531526179,124.682055351666,-4.15894396789372,145.570259868497,146,329.522585313533,-1.96902257460966
1656348109.12,681893.999821195,124.68325571633,-4.15898400917649,145.5714272457,146,329.522108577973,-1.9690537842624
1656348109.16,681899.470192673,124.684456446204,-4.15902406163514,145.572595066188,146,329.521631696158,-1.96908498030525
1656348109.2,681904.942555139,124.685657522848,-4.15906412340701,145.573763311714,146,329.521154675293,-1.96911616249664
1656348109.24,681910.416920925,124.686858949291,-4.15910419821739,145.574931984911,146,329.520677514059,-1.96914733115287
1656348109.28,681915.893269768,124.688060721406,-4.15914428420365,145.576101081453,146,329.520200213978,-1.96917848640423
1656348109.32,681921.371581402,124.689262835067,-4.15918438322842,145.577270597013,146,329.51972277657,-1.96920962838102
1656348109.36,681926.851835563,124.690465286148,-4.15922449342906,145.578440527267,146,329.519245203359,-1.96924075721356
1656348109.4,681932.334044668,124.691668077693,-4.15926461480558,145.579610874863,146,329.518767493018,-1.96927187321758
1656348109.44,681937.818123099,124.692871191238,-4.15930474549532,145.580781621525,146,329.518289652764,-1.96930297615244
1656348109.48,681943.304083262,124.694074629824,-4.15934488736093,145.581952769902,146,329.517811681271,-1.96933406633396
1656348109.52,681948.791904892,124.695278389326,-4.15938504226506,145.583124315666,146,329.51733358006,-1.96936514389244
1656348109.56,681954.281567724,124.696482465619,-4.15942520461977,145.584296254492,146,329.516855350655,-1.96939620895818
1656348109.6,681959.773051493,124.697686854576,-4.15946537815034,145.585468582053,146,329.516376994577,-1.9694272616615
1656348109.64,681965.266368682,124.698891559255,-4.15950556471944,145.586641301015,146,329.515898510494,-1.96945830231767
1656348109.68,681970.761433542,124.700096561167,-4.15954575687647,145.587814393071,146,329.515419905634,-1.96948933068696
1656348109.72,681976.258258543,124.701301863369,-4.15958596207201,145.588987860885,146,329.514941178665,-1.96952034708474
1656348109.76,681981.756823423,124.702507461734,-4.15962617658079,145.590161700129,146,329.51446233111,-1.96955135164131
1656348109.8,681987.257107915,124.703713352138,-4.15966640040278,145.591335906478,146,329.513983364491,-1.96958234448696
1656348109.84,681992.759091755,124.704919530456,-4.15970663353801,145.592510475605,146,329.513504280329,-1.96961332575202
